OBJECTID,Admin_type,Adm2_CAP,ADM2_EN,ADM2_ZH,ADM2_PCODE,ADM1_EN,ADM1_ZH,ADM1_PCODE,ADM0_EN,ADM0_ZH,ADM0_PCODE
"184",Prefecture-level city,Donghu District,Nanchang,南昌市,CN036060,Jiangxi Province,江西省,CN036,China,中国,CN
"185",Prefecture-level city,Xunyang District,Jiujiang,九江市,CN036050,Jiangxi Province,江西省,CN036,China,中国,CN
"186",Prefecture-level city,Xinzhou District,Shangrao,上饶市,CN036080,Jiangxi Province,江西省,CN036,China,中国,CN
"187",Prefecture-level city,Changjiang District,Jingdezhen,景德镇市,CN036040,Jiangxi Province,江西省,CN036,China,中国,CN
"188",Prefecture-level city,Tunxi District,Huangshan,黄山市,CN034100,Anhui Province,安徽省,CN034,China,中国,CN
"189",Prefecture-level city,Guichi District,Chizhou,池州市,CN034040,Anhui Province,安徽省,CN034,China,中国,CN
"190",Prefecture-level city,Tongguanshan District,Tongling,铜陵市,CN034140,Anhui Province,安徽省,CN034,China,中国,CN
"191",Prefecture-level city,Daguan District,Anqing,安庆市,CN034010,Anhui Province,安徽省,CN034,China,中国,CN
"192",Prefecture-level city,Xialu District,Huangshi,黄石市,CN042040,Hubei Province,湖北省,CN042,China,中国,CN
"193",Prefecture-level city,Xian'an District,Xianning,咸宁市,CN042140,Hubei Province,湖北省,CN042,China,中国,CN
"194",Prefecture-level city,Huangzhou District,Huanggang,黄冈市,CN042030,Hubei Province,湖北省,CN042,China,中国,CN
"195",Prefecture-level city,Jiang'an District,Wuhan,武汉市,CN042120,Hubei Province,湖北省,CN042,China,中国,CN
"196",Prefecture-level city,Zengdu District,Suizhou,随州市,CN042100,Hubei Province,湖北省,CN042,China,中国,CN
"197",Prefecture-level city,Shihe District,Xinyang,信阳市,CN041140,Henan Province,河南省,CN041,China,中国,CN
"198",Prefecture-level city,Yicheng District,Zhumadian,驻马店市,CN041180,Henan Province,河南省,CN041,China,中国,CN
"199",Prefecture-level city,Shangzhou District,Shangluo,商洛市,CN061040,Shaanxi Province,陕西省,CN061,China,中国,CN
